SOFT-RESET,U14,AE29,PR80D,I/O,LFE5U_-85F-_BG756_
HARD-RESET,U14,AE28,PR80C,I/O,LFE5U_-85F-_BG756_
GPMC.S22,U14,AB5,PL77A/DQS,I/O,LFE5U_-85F-_BG756_
GPMC.S21,U14,AC6,PL74D,I/O,LFE5U_-85F-_BG756_
GPMC.S20,U14,AB7,PL74C,I/O,LFE5U_-85F-_BG756_
GPMC.S19,U14,W4,PL74B,I/O,LFE5U_-85F-_BG756_
GPMC.S18,U14,Y4,PL74A,I/O,LFE5U_-85F-_BG756_
GPMC.S17,U14,W5,PL71D,I/O,LFE5U_-85F-_BG756_
GPMC.S16,U14,P3,PL59B,I/O,LFE5U_-85F-_BG756_
GPMC.S15,U14,R4,PL53A/DQS,I/O,LFE5U_-85F-_BG756_
GPMC.S14,U14,T4,PL53C,I/O,LFE5U_-85F-_BG756_
GPMC.S13,U14,W1,PL68D,I/O,LFE5U_-85F-_BG756_
GPMC.S12,U14,V1,PL68C,I/O,LFE5U_-85F-_BG756_
GPMC.S11,U14,U1,PL68B,I/O,LFE5U_-85F-_BG756_
GPMC.S10,U14,T1,PL68A,I/O,LFE5U_-85F-_BG756_
GPMC.S9,U14,Y3,PL65D,I/O,LFE5U_-85F-_BG756_
GPMC.S8,U14,W3,PL65C,I/O,LFE5U_-85F-_BG756_
GPMC.S7,U14,T2,PL65B/DQSN,I/O,LFE5U_-85F-_BG756_
GPMC.S6,U14,R1,PL65A/DQS,I/O,LFE5U_-85F-_BG756_
GPMC.S5,U14,U3,PL62D,I/O,LFE5U_-85F-_BG756_
GPMC.S4,U14,U2,PL62C,I/O,LFE5U_-85F-_BG756_
GPMC.S3,U14,P1,PL62B,I/O,LFE5U_-85F-_BG756_
GPMC.S2,U14,N1,PL62A,I/O,LFE5U_-85F-_BG756_
GPMC.S1,U14,AD6,PL80A,I/O,LFE5U_-85F-_BG756_
GPMC.S0,U14,R3,PL59C,I/O,LFE5U_-85F-_BG756_
FPGACFG2.PROGN,U14,C29,PR11C,I/O,LFE5U_-85F-_BG756_
FPGACFG2.INITN,U14,F32,PR23C,I/O,LFE5U_-85F-_BG756_
FPGACFG2.DOUT,U14,B32,PR17A/DQS,I/O,LFE5U_-85F-_BG756_
FPGACFG2.DONE,U14,C30,PR11D,I/O,LFE5U_-85F-_BG756_
FPGACFG2.DI,U14,C31,PR17B/DQSN,I/O,LFE5U_-85F-_BG756_
FPGACFG2.CCLK,U14,C32,PR20C,I/O,LFE5U_-85F-_BG756_
FPGACFG1.PROGN,U14,F31,PR23A,I/O,LFE5U_-85F-_BG756_
FPGACFG1.INITN,U14,E30,PR20B,I/O,LFE5U_-85F-_BG756_
FPGACFG1.DOUT,U14,F28,PR14D,I/O,LFE5U_-85F-_BG756_
FPGACFG1.DONE,U14,F30,PR20A,I/O,LFE5U_-85F-_BG756_
FPGACFG1.DI,U14,F29,PR14C,I/O,LFE5U_-85F-_BG756_
FPGACFG1.CCLK,U14,E29,PR14B,I/O,LFE5U_-85F-_BG756_
FPGACFG0.PROGN,U14,D29,PR14A,I/O,LFE5U_-85F-_BG756_
FPGACFG0.INITN,U14,H32,PR23D,I/O,LFE5U_-85F-_BG756_
FPGACFG0.DOUT,U14,D31,PR17D,I/O,LFE5U_-85F-_BG756_
FPGACFG0.DONE,U14,D30,PR17C,I/O,LFE5U_-85F-_BG756_
FPGACFG0.DI,U14,D32,PR20D,I/O,LFE5U_-85F-_BG756_
FPGACFG0.CCLK,U14,E32,PR23B,I/O,LFE5U_-85F-_BG756_
CONFIG-BANK3.S16,U14,P31,PR59A,I/O,LFE5U_-85F-_BG756_
CONFIG-BANK3.S20,U14,N32,PR62A,I/O,LFE5U_-85F-_BG756_
CONFIG-BANK3.S17,U14,P30,PR59B,I/O,LFE5U_-85F-_BG756_
CONFIG-BANK3.S1,U14,P29,PR47B/PCLKC3_1,I/O,LFE5U_-85F-_BG756_
